Wall time,Step,Value
1585070040.1857302,5670,-1.0
1585071271.0659466,12042,-1.0
1585071907.4591782,12094,-1.0
1585072499.2760255,12095,-1.0
1585073111.7021456,12181,-1.0
1585073761.0106285,12182,-1.0
1585074363.0986505,12183,-1.0
1585077610.4300933,17760,-1.0
1585078255.2693524,17761,-1.0
1585078899.1205473,17762,-1.0
1585079550.9049077,17763,-1.0
1585080202.369267,17764,-1.0
1585080854.663771,17765,-1.0
1585081508.1206412,17766,-1.0
1585083503.0700946,23489,-1.0
1585084182.9913068,23490,-1.0
1585084905.3935468,23491,-1.0
1585085625.332324,23492,-1.0
1585086310.3753057,23493,-1.0
1585087041.4868872,23494,-1.0
1585087757.6932266,23495,-1.0
1585089964.96195,29164,-1.0
1585090704.7364547,29165,-1.0
1585091407.2796717,29166,-1.0
1585092147.6796854,29167,-1.0
1585092844.320436,29168,-1.0
1585095379.0936027,34905,-1.0
1585096113.7867706,34906,-1.0
1585096855.5654204,34907,-1.0
1585097577.3074427,34908,-1.0
1585098294.7991166,34909,-1.0
1585099014.7488778,34910,-1.0
1585099751.570774,34911,-1.0
1585100511.1617312,34912,-1.0
1585101240.775279,34913,-1.0
1585136230.7125735,40623,-1.0
1585136951.9055898,40624,-1.0
1585137698.3728514,40625,-1.0
1585138420.0743241,40626,-1.0
1585139146.096989,40627,-1.0
1585141241.4516294,46169,-1.0
1585142123.537077,46170,-1.0
1585142953.534896,46171,-1.0
1585143803.1750476,46172,-1.0
1585146398.4769742,51824,-1.0
1585147288.8596094,51825,-1.0
1585148143.893145,51826,-1.0
1585149022.0298204,51827,-1.0
1585149854.3454804,51828,-1.0
1585150687.1057675,51829,-1.0
1585151523.7323604,51830,-1.0
1585154064.736893,57530,-1.0
1585154879.4394257,57531,-1.0
1585155729.299908,57532,-1.0
1585156550.4963236,57533,-1.0
1585157397.0947115,57534,-1.0
1585158258.4201865,57535,-1.0
1585163834.561714,59671,-1.0
1585164677.113348,59672,-1.0
1585165512.047012,59673,-1.0
1585166369.5637367,59674,-1.0
1585167203.2337945,59675,-1.0
1585168038.7694397,59676,-1.0
1585168906.9282384,59677,-1.0
1585354416.2489507,61309,-1.0
1585355284.464663,61310,-1.0
1585356131.2175395,61311,-1.0
1585356971.7522967,61312,-1.0
1585357784.5323496,61313,-1.0
1585358602.7734349,61314,-1.0
1585359441.4401839,61315,-1.0
1585360309.844317,61316,-1.0
1585361150.8039045,61317,-1.0
1585361959.9632072,61318,-1.0
1585400807.5889301,62806,-1.0
1585402392.5291412,64160,-1.0
1585403217.0621867,64161,-1.0
1585404063.0229342,64162,-1.0
1585426440.0263078,67381,-1.0
1585427324.9202669,67382,-1.0
1585429731.5210416,68996,-1.0
1585430663.4842734,68997,-1.0
1585431575.8716738,68998,-1.0
1585433981.7932947,70624,-1.0
1585434897.025024,70625,-1.0
1585435781.363414,70626,-1.0
1585436704.3317885,70627,-1.0
